Venue,Event_Name,Description,Start_Date,Start_Time,End_Date,End_Time,Link,City,Image,Privacy,Background 
Louisville Palace,How to Tame Stress and Eliminate Reactivity in Less Than 8 Weeks, This is a FREE online event to give you the tools you need to control the stress you experience in all areas of your life!,2020-07-05, 21:00:00,,,http://louisville.eventful.com/events/tame-stress-and-elimin-/E0-001-134657174-5@2020070521?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/712/172-0.jpeg_/tame-stress-and-eliminate-reactivity-l-72.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/712/172-0.jpeg_/tame-stress-and-eliminate-reactivity-l-72.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/712/172-0.jpeg_/tame-stress-and-eliminate-reactivity-l-72.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/712/172-0.jpeg_/tame-stress-and-eliminate-reactivity-l-72.jpeg
128
128

",1,1
Brewskees Sports,Juke Joint Revival- Cold Steel Rail- Abby Henderson,"
",2020-07-11, 20:00:00,,,http://louisville.eventful.com/events/juke-joint-revival-cold-steel-rail-abby-hende-/E0-001-135005126-6?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
"Louisville, Kentucky, United States","Change Management Classroom Training in Louisville, KY"," Welcome to Studye Times! We thank you for visiting Studye Times Change Management training page.   Overview: Change is often frustrating and may often fall out of the paradigm of strategies that you may have developed in your management career. But change is necessary and you as a change manager will be expected to lead from the front. We therefore bring you a practical one day course that focuses on all levels of change impact and prepares you to face them according to new age best practices and techniques.   By the end of this workshop you will get the confidence needed to manage change as an individual manager, and help yourself and your organization through these uncertain economic times. The ability to effectively lead organisational change is a competitive differentiator. Those that implement change better, faster and smarter will ensure better outcomes. On successful completion of the course, you will receive a Course Completion Certificate from Studye Times.       What you will learn:   Become better managers and business leaders by achieving optimal personal and business performance Combine information, learn about implementing change management, its tools and industry best practice, facilitated by an experienced change leader. Develop, apply and embed the knowledge and skills acquired by this program to your organization         Course Agenda     Introduction to Change Management Change Management – Why this is important Portfolio, Program and Project Management Overview Organisational Maturity Model : Is my Organisation ready for embracing change Organisational Maturity Model : Is my Team ready for embracing change Change in organisations - using interactive facilitation and individual reflection and activity Change how it impacts me - Tailored change manual to use in your organisation Initiating change - using real life organisational change experiences Launch and mobilise the change - use a case study and role plays to practise the concepts learnt Transition and embed a change initiative   Why Studye Times ? Studye Times&#39;s training is the best and value for time & money invested. We stand out because our customers Get trained at the best price compared to other training providers. Get trained by the best trainer in the industry. Get accesses to course specific learning videos. Get 100% Money back guarantee*. Training Fee Classroom: $ 749 Training Fee Online Classroom: $549   Standard Fee: Booking within 30 days of training but 10 days prior to the start date. Early Bird: Booking at least one month prior to the class start date Super Early Bird: Booking 3 months prior to the class start date.   Training Venue: Venue will be confirmed to the classroom participants one week prior to the workshop start date and online participants will get the session attendance link before 4- 5 days of the training start date. Standard Fee: Booking within 30 days of training but 10 days prior to the start date. For more details please contact us at eventbrite@studyet.com   *We also provide the Corporate training at any remote location, if you have group participants. It can be conducted at your company premises on your preferred dates.   *To know more about the discount and money back, Contact us on chat or email ",2020-07-24, 09:00:00,,,http://louisville.eventful.com/events/change-management-clas-/E0-001-129674592-2@2020072409?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/044/732/576-1.jpeg_/change-management-classroom-training-l-76.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/044/732/576-1.jpeg_/change-management-classroom-training-l-76.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/044/732/576-1.jpeg_/change-management-classroom-training-l-76.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/044/732/576-1.jpeg_/change-management-classroom-training-l-76.jpeg
128
128

",1,1
"Louisville, Kentucky, United States",Ice Cream Run (Fathers Day Race) 13.1/10k/5k/1k Remote Run,,2020-06-21, 00:00:00,2020-07-01, 00:00:00,http://louisville.eventful.com/events/ice-cream-run-fathers-day-race-13110k5k1k-rem-/E0-001-134699192-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Louisville (KY),Ice Cream Run (Father's Day Race) 13.1/10k/5k/1k Remote Run,,2020-06-21, 00:00:00,2020-07-01, 00:00:00,http://louisville.eventful.com/events/ice-cream-run-fathers-day-race-13110k5k1k-rem-/E0-001-134712443-8?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Iroquois Amphitheater,Lewis Capaldi,,2020-07-28, 20:00:00,,,http://louisville.eventful.com/events/lewis-capaldi-/E0-001-133802422-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/039/920/271-8.jpeg_/lewis-capaldi-71.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/039/920/271-8.jpeg_/lewis-capaldi-71.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/039/920/271-8.jpeg_/lewis-capaldi-71.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/039/920/271-8.jpeg_/lewis-capaldi-71.jpeg
128
128

",1,1
SOUTHERN KENTUCKY KY - COMBINED AREA,USTA/SOUTHERN KENTUCKY-2020 USTA League - ADULT MIXED 18 & OVER - Pur,,2020-06-05, 00:00:00,2020-08-28, 00:00:00,http://louisville.eventful.com/events/ustasouthern-kentucky2020-usta-league-adult-/E0-001-133744927-7?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
SOUTHERN KENTUCKY KY - COMBINED AREA,USTA/SOUTHERN KENTUCKY-2020 Southern Combo Doubles 40 & Over - Pur,,2020-06-01, 00:00:00,2020-09-18, 00:00:00,http://louisville.eventful.com/events/ustasouthern-kentucky2020-southern-combo-doub-/E0-001-133748586-2?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
OCS Arts Center,Theatre2,,2020-04-23, 00:00:00,2020-08-01, 00:00:00,http://louisville.eventful.com/events/theatre2-/E0-001-131879910-8?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
"Louisville, Kentucky, United States","CAPM Classroom Training in Louisville, KY"," Key Features: 32 hours of Interactive Classroom 100% Money Back Guarantee 60 Days e-Learning Access Included PMBOK Guide 6th Edition from PMI CAPM Mock Exams and Mock Projects Group Activities for better reinforcement Real world examples from various industries Industry based case studies Trainers’ Notes, Sample Question Paper & Case Studies 23 Contact hours certificate CAPM exam application assistance 24/7 customer support About Simplykart’s CAPM® Certified Associate Project Management (CAPM) certification is the topmost professional certification for project managers offered by the Project Management Institute. CAPM training from Simplykart is a unique, power packed, blended mode, career-ready package and one of a kind in the industry. Our training focuses on all the Knowledge Areas and Process Groups provided in A Guide to the Project Management Body of Knowledge (PMBOK Guide – 6th Edition) from an examination point of view to ensure your learning and training objectives are successfully met. What are the prerequisites for the certification? To apply for the CAPM exam, candidates need to have: Secondary degree (high school diploma, associate’s degree or the global equivalent) 1,500 hours of project experience OR 23 hours of project management education completed by the time you sit for the exam Certified Associate Project Management (CAPM)® Course Agenda  Project Management Framework What is a Project? Programs, PMO, and Portfolios Project Stakeholders Organizational Structures Product Life Cycle, Project Life Cycle, Project Management Life Cycle Process Groups Key General Management Skills Project Integration Management What is Project Integration Management? Some Examples of Integration Processes Earned Value Analysis Project Constraints Project Assumptions Project Charter When should the Project Manager be Identified/Assigned? Project Management Plan, Project Schedule, and Performance Measurement Baseline Components of the Project Plan Preventive Action, Corrective Action, and Defect Repair Work Authorization System Role of Stakeholder Project Management Information System (PMIS) Lessons Learned Change Control System Perform Integrated Change Control Steps Followed If Customer Requests for Changes Guiding Rule – Who Can Authorize A Change? Configuration Management System Project Scope Management What is Project Scope Management? Product Scope vs. Project Scope Processes in Project Scope Management Plan Scope Management Scope Management Plan Collect Requirements Define Scope Product Scope Description Product Analysis Project Scope Statement Decomposition Work Breakdown Structures (WBS) Work Packages and WBS Dictionary Inspection Scope Changes Control Scope Project Time Management What is Project Time Management? Plan Schedule Management Define Activities Decomposition Sequence Activities Precedence Diagramming Method (PDM) Activity on Node Conditional Diagramming Methods Types of Dependencies Project Schedule Network Diagrams Estimate Activity Resources Outputs of Estimate Activity Resources Estimate Activity Durations Historical Information Analogous Estimating (Top-Down Estimating) Parametric Estimating Three-Point Estimating Develop Schedule Constraints and Milestones Mathematical Analysis Schedule Compression Simulation, Resource Leveling, and Critical Chain Method Resource Smoothing Project Schedule Schedule Updates, Schedule Baseline, and New Target Schedules PERT Estimations Tasks in Network Diagrams How to Calculate Critical Path for a Network Diagram Performing Network Analysis Crashing Time Management Questions – Practice Project Cost Management What is Project Cost Management? Plan Cost Management Cost Management Plan Estimate Costs Estimate Costs – Tools and Techniques Analogous Estimating (Top Down) Bottom-Up Estimating Parametric Estimating Three-Point Estimating Activity Cost Estimates AACE – Types of Estimates Determine Budget Project Schedule and Resource Calendars Cost Baseline Revised Cost Estimates, Budget Updates, Re-baselining Control Costs Control Costs – Tools and Techniques Payback Period and Life Cycle Cost Return on investment (ROI) Present Value, NPV and DCF Internal Rate of Return (IRR) Benefit Cost Ratio (BCR) Opportunity Cost and Sunk Cost Depreciation Earned Value Management Earned Value Management Project Quality Management What is Project Quality Management? Quality Quality Policy Flowchart Quality Management Plan Perform Quality Assurance Control Quality Tools and Techniques used for Control Quality Seven Basic Quality Tools Project Human Resource Management What is Project Human Resource Management? Plan Human Resource Management Human Resource Management Plan Acquire Project Team Develop Project Team Manage Project Team Handling Conflicts Maslow’s Hierarchy of Needs Herzberg’s Theory of Motivators and Hygiene Factors Conflict Intensity Management/Leadership Styles Types of Roles People Play in a Project Delegation Project Communications Management What is Project Communications Management? Importance of Communications Management Various Forms of Communication and Their Characteristics Plan Communications Management Communications Management Plan Plan Communications Management – Tools and Techniques Manage Communications Control Communications Project Risk Management What is Project Risk Management? Plan Risk Management Risk Management Plan Identify Risks Perform Qualitative Risk Analysis Perform Quantitative Risk Analysis Plan Risk Responses Control Risks Utility Function Project Procurement Management What is Project Procurement Management Understanding Terms and Concepts Plan Procurement Management Make or Buy Analysis Contract Type Selection Types of Contracts Important Fixed Price Contracts Important Cost Reimbursable Contracts Procurement Management Plan Conduct Procurements Control Procurements Close Procurements Project Stakeholder Management Project Stakeholder Management Identify Stakeholders Plan Stakeholder Management Stakeholder Management Plan Manage Stakeholder Engagement Control Stakeholder Engagement Professional Responsibility Responsibility towards PMI Responsibility to the Profession Who should apply? This course is best suited for: Project associates and executives Any professional aspiring to start a career in project management     Why Simplykart? Simplykart&#39;s training is the best and value for time & money invested. We stand out because our customers Get trained at the best price compared to other training providers. Get trained by the best trainer in the industry. Get accesses to course specific learning videos. Get 100% Money back guarantee*. Training Fee : $1249 Early Bird:  Booking at least one month prior to the class start date Training Venue Venue will be confirmed to the classroom participants one week prior to the workshop start date and online participants will get the session attendance link before 4- 5 days of the training start date. Venue is finalized one week prior to the start date so that we can accommodate last minute rescheduling from the participants and we do not incur additional cost for rescheduling or cancellation. Standard Fee: Booking within 30 days of training but 10 days prior to the start date. For more details please contact us at info@simplykart.org or call us at +1 302-261-9363.   *To know more about the discount and money back, Contact us on chat, email or phone.   ",2020-07-28, 09:00:00,,,http://louisville.eventful.com/events/capm-classroom-trainin-/E0-001-130871327-9@2020072809?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/043/624/887-3.jpeg_/capm-classroom-training-louisville-ky-87.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/043/624/887-3.jpeg_/capm-classroom-training-louisville-ky-87.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/043/624/887-3.jpeg_/capm-classroom-training-louisville-ky-87.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/043/624/887-3.jpeg_/capm-classroom-training-louisville-ky-87.jpeg
128
128

",1,1
"Louisville, Kentucky, United States",Wednesday Weekly Intentional Healing Circle, <br><br><br><br>Weekly Wednesday Intentional Healing Circle<br>A weekly opportunity to experience the power of healing possibilities in the hands of Mollie,2020-07-08, 18:45:00,,,http://louisville.eventful.com/events/wednesday-weekly-inten-/E0-001-134747115-0@2020070818?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/742/936-7.jpeg_/wednesday-weekly-intentional-healing-c-36.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/742/936-7.jpeg_/wednesday-weekly-intentional-healing-c-36.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/742/936-7.jpeg_/wednesday-weekly-intentional-healing-c-36.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/742/936-7.jpeg_/wednesday-weekly-intentional-healing-c-36.jpeg
128
128

",1,1
"Louisville, Kentucky, United States","Tableau Certification Training in Louisville, KY"," Key Features: 30 Hours Online Instructor-led Sessions Real-life Case Studies 20 Hours Assignments Lifetime Access 24 x 7 Expert Support Certification About The Course: Studye Times’s Data Visualization using Tableau 10 Certification Training will make you an expert to utilize Tableau to create and distribute interactive and shareable dashboards. Learn about Data blending , Charts , Graphs,  LOD expressions ,Tableau Desktop, Tableau Public, Tableau Reader, and integrate Tableau with R. Who Should Apply? This Tableau training is designed for: Analytics professionals, IT developers and testers Data analysts, Data scientists BI and reporting professionals Project managers Professionals aspiring for a career in the growing and demanding fields of real-time big data analytics Business users and students who want to develop a set of core Tableau Desktop proficiency Professionals planning to take the Tableau certification exam. What Will You Learn? Introduction to Data Visualization Goal : Give a brief idea of data visualization and introduce Tableau 10   Objectives: Identify the prerequisites, goal, objectives, methodology, material, and agenda for the course Discuss the basic of Data Visualization Get a brief idea about Tableau, establish connection with the dataset, perform Joins operation on the data set Topics: Data Visualization Introducing Tableau 10.0 Establishing Connection Joins and Union Data Blending Hands On: Establishing connection with the files, Introducing important UI components (ShowMe, Fit Axes) Perform Cross Joins between the dataset Visual Analytics Goal :  Learn to manage your dataset and analyze things visually with the help of Marks Card and “highlighting” feature. Objectives: Manage extracts and metadata (by creating hierarchy and folders) Describe what is Visual Analytics, why to use it, and it’s various scopes Explain aggregating and disaggregating data and how to implement data granularity using marks card on aggregated data Describe what is highlighting, with the help of a use-case Illustrate basic graphs including bar graph, line graph, pie chart, dual axis graph, and area graph with dual axis Topics: Managing Extracts Managing Metadata Visual Analytics Data Granularity using Marks Card Highlighting Introduction to basic graphs Hands On: Creating Extracts, Hierarchy, Folders All the features of Marks Card Shelve with use case provided Power of Highlighting in the visualization using the Use-case How to create basic graphs in Tableau10.x Visual Analytics in depth I Goal :  This module presents to you the granular content of Visual analytics, covering various techniques to perform sorting, filtering and grouping on the dataset. Objectives: Perform sorting techniques including quicksort, using measures, using header and legend, and sorting using pill with the help of a use case.   Master yourself into various filtering techniques such as Parametrized filtering, Quick Filter, Context Filter. Learn about various filtering option available with the help of use case and different scenarios. Illustrate grouping using data-window, visual grouping, and Calculated Grouping (Static and Dynamic). Illustrate some more graphical visualization including Heat Map, Circle Plot, Scatter Plot, and Tree Maps. Topics: Sorting. Filtering. Grouping Graphical Visualization Hands On: Quick Sort, Sorting using measure, Sorting using header and legends, sorting using pill(use-case). Filtering Use cases covering different options (General, Wildcard, Conditional). Interactive Filter, Quick Filter, Context Filter. Grouping using Data Window, Visual Grouping, Calculated Grouping (Static and Dynamic). Visual Analytics in depth II Goal : This module presents to you Visual analytics in a more granular manner thereby letting you to dive deep into the content. It covers various advanced techniques of analyzing data including, forecasting, trend lines, reference lines, clustering, parametrized concepts, and creating sets. Objectives: Explain the basic concepts of sets followed by Creating sets using Marks Card, computation sets and combined sets Describe the concepts of forecasting with the help of Forecasting problem as a use-case Discuss the basic concept of clustering in Tableau Add Trend lines and reference line to your visualization Discuss about Parameter in depth using Sets and Filter Topics: Sets Forecasting Clustering Trend Lines. Reference Lines. Parameters Hands On: Create sets using marks card, Computation sets, and Combined sets Forecasting using Precise Range Methods of clustering Adding trend line and reference line (along with various options available for them) Parameter using sets and filter Dashboard and Stories Goal : Learn all about Dashboards and Stories in Tableau. Objectives: Describe the basic concepts of Dashboard and its UI. Build a dashboard by adding sheets and object into it Modify the view and layout. Edit your dashboard, how it should appear on phones or tablets. Create an interactive dashboard using actions (filter, highlighting, URL). Create stories for your Visualization and Dashboards. Topics: Introduction to Dashboard. Creating a Dashboard Layout. Designing Dashboard for Devices. Dashboard Interaction – Using Action. Introduction to Story Point. Hands On: Creating Dashboard and learning its UI component. Changing the layout of the dashboard. Using Device Designer to create dashboard for devices. Create an interactive dashboard using actions (Filter, Highlight, URL). Creating story with dashboard. Mapping Goal : This module helps you in understanding mapping in detail, editing unrecognized and ambiguous location, and creating customized geocoding. Learn about polygon map and Web Mapping Service, and finally add background images with self-generated coordinates. Objectives: Map the coordinates on the map, plot geographic data, and use layered view to get the street view of the area. Edit the ambiguous and unrecognized location plotted on the map. Customize territory in a polygon map. Connect to the WMS Server, use a WMS background map and saving it. Add a background image and generate its coordinate and plot the points. Topics: Introduction to Maps. Editing Unrecognized Locations. Custom Geocoding. Polygon Maps. Web Mapping Services. Background Images. Hands On: Plot the coordinate points on the map, plotting the geographic data, Street View using the layered view. Editing Unrecognized and ambiguous location Custom Geocoding. Creating a custom territory, building a polygon map. Establishing connection with the WMS Server a WMS background map and saving it. Adding a background image and generate coordinates and finally plotting points. Calculation Goal : This module will help you in creating basic calculations including string manipulation, basic arithmetic calculations, date math, logic statements and quick table calculations. Along with this you will be also introduced to LOD expressions with the help of use cases. Objectives: Perform Calculations using various types of functions such as Number, String, Date, Logical, and Aggregrate. In addition, you will get to know about Quick Table Calculation. Cover the following LOD expressions – Fixed, Included, and Excluded. Topics: Introduction to Calculation : Number Functions, String Functions , Date Functions, Logical Functions, Aggregate Functions. Introduction to Table Calculation. Introduction to LOD expression : Fixed LOD , Included LOD, Excluded LOD Hands On: All Functions (Number, String, Date, Logical, Aggregate) Table Calculation. LOD expressions. LOD Problem Sets & Hands on Goal : This module will explain the scenarios where you can implement LOD expressions. This is showcased with the help of set of problems. Objectives: Tackle complex scenarios by using LOD expressions. Hands On: Use Case I – Count Customer by Order. Use Case II – Profit per Business Day. Use Case III – Comparative Sales. Use Case IV – Profit Vs Target Use Case V – Finding the second order date. Use Case VI – Cohort Analysis Charts Goal : Plot various types of Charts using Tableau 10 and have extensive hands-on on industry use cases. Topics : Box and Whisker’s Plots Gantt Charts Waterfall Charts Pareto Charts Control Charts Funnel Charts Hands On: Extensive hands-on on the above topics Integrating Tableau with R and Hadoop Goal : This module introduces you to the concept of Big Data, Hadoop, and R. You discuss the integration between Tableau and R and finally publish your workbook on Tableau Server. Objectives: You will know the basics of Big Data, Hadoop, and R. You will discuss the integration between Hadoop and R and will integrate R with Tableau. In addition, you will get to publish your workbook on Tableau Server. Topics: Introduction to Big Data Introduction to Hadoop Introduction to R Integration among R and Hadoop Calculating measure using R Integrating Tableau with R Integrated Visualization using Tableau Hands On: Installing Rserve package in R Integrating Tableau and R Publishing your workbook on Tableau Server. Benefits of  Tableau Training Course: Verizon, Facebook, Dell, General Motors, KPMG, Bank of America & other 35,000 MNCs worldwide use Tableau across industries Average salary of a Tableau professional is $100,000 ( Indeed.com ) Tableau is a Leader in 2017 Gartner Magic Quadrant for Business Intelligence & Analytics Platforms ( 5th Consecutive Year ) Why Studye Times? Studye Time&#39;s training is the best and value for time & money invested. We stand out because our customers- Get trained at the best price compared to other training providers. Get trained by the best trainer in the industry. Get accesses to course specific learning videos. Get 100% Money back guarantee*. Training Fee: $899 Standard Fee: Booking within 30 days of training but 10 days prior to the start date. For more details please contact us at eventbrite@studyet.com   *We also provide the Corporate training at any remote location, if you have group participants. It can be conducted at your company premises on your preferred dates.   *To know more about the discount and money back, Contact us on chat or email     ",2020-07-28, 09:00:00,,,http://louisville.eventful.com/events/tableau-certification-/E0-001-129727077-1@2020072809?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/080/504-5.jpeg_/tableau-certification-training-louisvi-04.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/080/504-5.jpeg_/tableau-certification-training-louisvi-04.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/080/504-5.jpeg_/tableau-certification-training-louisvi-04.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/080/504-5.jpeg_/tableau-certification-training-louisvi-04.jpeg
128
128

",1,1
Louisville Slugger Field,Indianapolis Indians at Louisville Bats,,2020-07-03, 18:45:00,,,http://louisville.eventful.com/events/indianapolis-indians-louisville-bats-/E0-001-131947647-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/040/641/633-4.png_/indianapolis-indians-33.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/040/641/633-4.png_/indianapolis-indians-33.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/040/641/633-4.png_/indianapolis-indians-33.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/040/641/633-4.png_/indianapolis-indians-33.png
128
128

",1,1
Louisville Lacrosse Stadium,Summer Elite Camp,,2020-07-13, 00:00:00,2020-07-15, 00:00:00,http://louisville.eventful.com/events/summer-elite-camp-/E0-001-133891565-2?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
OCS Arts Center,Acrylic Painting,,2020-07-13, 00:00:00,2020-07-17, 00:00:00,http://louisville.eventful.com/events/acrylic-painting-/E0-001-133553307-7?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
Louisville,"DevOps Certification Training Course In Louisville, KY ,USA", ARLearners is one of the leading authorized professional certification training providers all over the globe.,2020-07-03, 17:00:00,,,http://louisville.eventful.com/events/devops-certification-t-/E0-001-134729774-3@2020070317?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/747/363-2.png_/devops-certification-training-course-l-63.png
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/747/363-2.png_/devops-certification-training-course-l-63.png
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/747/363-2.png_/devops-certification-training-course-l-63.png
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/747/363-2.png_/devops-certification-training-course-l-63.png
128
128

",1,1
L & N Arena,All Skills Camp II,,2020-07-09, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/all-skills-camp-ii-/E0-001-133367620-8?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
TG and G,CCDW Level 2 (not a state required course) - Louisville Armory," Advanced Pistol<br>Course Cost: $75 Course Length: 3 Hours This 3-hour course will introduce new shooting drills, movement techniques, and adv",2020-07-26, 18:00:00,,,http://louisville.eventful.com/events/ccdw-level-2-not-state-required-course-louis-/E0-001-134800045-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/692/196-5.png_/ccdw-level-2-not-state-required-course-louisville-96.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/692/196-5.png_/ccdw-level-2-not-state-required-course-louisville-96.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/692/196-5.png_/ccdw-level-2-not-state-required-course-louisville-96.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/692/196-5.png_/ccdw-level-2-not-state-required-course-louisville-96.png
128
128

",1,1
Tree of Life Education Center,Planning For Birth & Postpartum," Planning For Birth & Postpartum is one of three required classes for families who plan to give birth at Tree of Life Family Birth Center. Please read the class guidelines carefully before registering: You only need one ticket, or one registration--it covers mom *and* her choice of birth partner. Please do not register twice! Attendance is limited to mothers (and their birth partners) who are in their third trimester. Birth partners are strongly encouraged to attend as we will go over information related to postpartum and newborn care in the first 48 hours after discharge from Tree of Life. This is an adults only class; please secure childcare for older children and babies. This class does not serve as preparation for natural birth--we will not learn about comfort measures, coping with labor, stages of labor, etc. Those concepts should be explored in a weekly independent childbirth class series. Mom & Birth Partner - $0.00",2020-07-27, 18:00:00,,,http://eventful.com/jeffersonville/events/planning-birth-postpartum-/E0-001-134606051-3?utm_source=apis&utm_medium=apim&utm_campaign=apic,Jeffersonville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/028/837/575-6.jpeg_/planning-birth-postpartum-75.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/028/837/575-6.jpeg_/planning-birth-postpartum-75.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/028/837/575-6.jpeg_/planning-birth-postpartum-75.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/028/837/575-6.jpeg_/planning-birth-postpartum-75.jpeg
128
128

",1,1
The Maple Inn,Mark Conover," OPEN MIC NITE 8-12 9416 Taylorsville Rd Louisville, Ky",2020-07-23, 20:00:00,,,http://louisville.eventful.com/events/mark-conover-/E0-001-133381701-8?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Lake Forest Retirement Community,Spark the VILLE," When was the last time you went to a meeting that truly changed the course of your business?Can you think of a better way to start the day than a talk that inspires you throughout the whole day? Spark the VILLE is a monthly event hosted by the Prospect Area Chamber or Commerce aimed at the Louisville business community.   Chairman John Yarmuth represents Kentucky&#39;s 3rd Congressional District in the U.S. House of Representatives. Now in his seventh term, he was elected Chairman of the House Budget Committee for the 116th Congress. He has been recognized for his work to improve education, expand access to affordable health care, and revitalize manufacturing in Louisville. Born and raised in Louisville, Kentucky, Chairman Yarmuth graduated from Atherton High School and Yale University. He and his wife, Cathy, have one son, Aaron, who is owner and editor of LEO Weekly. Our discussion will be centered around how to developed his business and turned to a political career in Louisville.  This October 25th, we will have Congressman John Yarmuth. Register today! This is hosted by David Wilson of Legacy Home and Estate Services and a board member of the PACC.  Lake Forest Retirement Resort is hosting this keynote.  Breakfast (muffins and coffee) and business networking from 7:30am-8am and the event from 8am-9am.  Tickets are limited and are $5.  See you soon!  ",2020-07-24, 07:30:00,,,http://louisville.eventful.com/events/spark-ville-/E0-001-131259911-7@2020072407?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/039/150-6.jpeg_/spark-ville-50.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/039/150-6.jpeg_/spark-ville-50.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/039/150-6.jpeg_/spark-ville-50.jpeg
48
48


//d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/039/150-6.jpeg_/spark-ville-50.jpeg
128
128

",1,1
